"Rk","Tm","Player","College","MP_T","VORP","Year"
54,"UTA","Shandon Anderson","University of Georgia",15946,4.9,1996
55,"WSB","Ronnie Henderson","Louisiana State University",NA,NA,1996
56,"CLE","Reggie Geary","University of Arizona",931,-0.3,1996
57,"SEA","Drew Barry","Georgia Institute of Technology",598,-0.4,1996
58,"DAL","Darnell Robinson","University of Arkansas",NA,NA,1996
1,"SAS","Tim Duncan","Wake Forest University",47368,89.3,1997
2,"PHI","Keith Van Horn","University of Utah",18150,8.4,1997
3,"BOS","Chauncey Billups","University of Colorado",33008,37.6,1997
4,"VAN","Antonio Daniels","Bowling Green State University",19671,4.1,1997
5,"DEN","Tony Battie","Texas Tech University",17649,1.9,1997
6,"BOS","Ron Mercer","University of Kentucky",13418,-4.3,1997
7,"NJN","Tim Thomas","Villanova University",21336,5.4,1997
8,"GSW","Adonal Foyle","Colgate University",13060,3.9,1997
9,"TOR","Tracy McGrady","High School",30658,50.6,1997
10,"MIL","Danny Fortson","University of Cincinnati",8832,-2.1,1997
11,"SAC","Tariq Abdul-Wahad","San Jose State University",4807,-1.5,1997
12,"IND","Austin Croshere","Providence College",11480,4.3,1997
13,"CLE","Derek Anderson","University of Kentucky",17975,13.3,1997
14,"LAC","Maurice Taylor","University of Michigan",13324,-5.9,1997
15,"DAL","Kelvin Cato","Iowa State University",10617,4.6,1997
16,"CLE","Brevin Knight","Stanford University",18176,4.3,1997
17,"ORL","Johnny Taylor","University of Tennessee at Chattanooga",866,-0.3,1997
18,"POR","Chris Anstey","International",2157,-0.4,1997
19,"DET","Scot Pollard","University of Kansas",8372,5.5,1997
20,"MIN","Paul Grant","University of Wisconsin",111,-0.2,1997
21,"NJN","Anthony Parker","Bradley University",13752,9.1,1997
22,"ATL","Ed Gray","University of California",809,-0.9,1997
23,"SEA","Bobby Jackson","University of Minnesota",16790,7.8,1997
24,"HOU","Rodrick Rhodes","University of Southern California",1234,-1.4,1997
25,"NYK","John Thomas","University of Minnesota",2253,-0.7,1997
26,"MIA","Charles Smith","University of New Mexico",1973,0.2,1997
27,"UTA","Jacque Vaughn","University of Kansas",12658,-7.1,1997
28,"CHI","Keith Booth","University of Maryland",449,-0.5,1997
29,"HOU","Serge Zwikker","University of North Carolina",NA,NA,1997
30,"MIA","Mark Sanford","University of Washington",NA,NA,1997
31,"DET","Charles O'Bannon","University of California, Los Angeles",399,-0.1,1997
32,"DEN","James Cotton","California State University, Long Beach",92,-0.3,1997
33,"PHI","Marko Milic","International",216,0,1997
34,"DAL","Bubba Wells","Austin Peay State University",395,-0.3,1997
35,"PHI","Kebu Stewart","California State University, Bakersfield",110,-0.1,1997
36,"PHI","James Collins","Florida State University",103,-0.1,1997
37,"GSW","Marc Jackson","Temple University",7572,-3.1,1997
38,"MIL","Jerald Honeycutt","Tulane University",632,-0.3,1997
39,"SAC","Anthony Johnson","College of Charleston",15552,-0.4,1997
40,"SEA","Eddie Elisma","Georgia Institute of Technology",NA,NA,1997
41,"DEN","Jason Lawson","Villanova University",80,0.1,1997
42,"PHO","Stephen Jackson","Butler County Community College",27398,13.6,1997
43,"MIN","Gordon Malone","West Virginia University",NA,NA,1997
44,"CLE","Cedric Henderson","University of Memphis",6182,-0.7,1997
